count,name
434,"ARGENTINA"
3820,"AUSTRALIA"
3558,"BRAZIL"
359,"BULGARIA"
17133,"CANADA"
1173,"CHILE"
43741,"CHINA"
128,"GERMANY"
80,"GREECE"
11774,"HONG KONG/CHINA"
8997,"INDIA"
16,"INDONESIA"
299,"ITALY"
236,"JAPAN"
138,"LATVIA"
247,"MALTA"
771,"MEXICO"
42,"MYANMAR"
338,"NAMIBIA"
366,"NEW ZEALAND"
237,"PHILIPPINES"
448,"POLAND"
1616,"RUSSIA"
199,"SAUDI ARABIA"
855,"SENEGAL"
21031,"SOUTH AFRICA"
2514,"SOUTH KOREA"
209,"TURKEY"
414,"UKRAINE"
474,"URUGUAY"
19634,"USA"
1694,"VENEZUELA"
597,"VIETNAM"
1212,"WAITING"