count,country,ship
     99,"ARGENTINA","ANASTASIA"
    124,"ARGENTINA","CANON TRADER I"
     68,"ARGENTINA","CRETAN WAVE"
     84,"ARGENTINA","MINOAN FALCON"
     59,"ARGENTINA","ORIENT TARGET"
    123,"AUSTRALIA","ALPHA FAITH"
     13,"AUSTRALIA","ALPHA HAPPINESS"
     34,"AUSTRALIA","ALTAIR DREAM"
     57,"AUSTRALIA","AM ZENICA"
    113,"AUSTRALIA","ATHENIAN PHOENIX"
     85,"AUSTRALIA","BLUE LHOTSE"
     28,"AUSTRALIA","CAPE EUROPE"
     54,"AUSTRALIA","CAPE ISTANBUL"
    110,"AUSTRALIA","CAPE VENTURE"
    236,"AUSTRALIA","CHANG HO"
    137,"AUSTRALIA","CHINA TRIUMPH"
    132,"AUSTRALIA","DARYA SHANTHI"
    234,"AUSTRALIA","DARYA TARA"
     90,"AUSTRALIA","ETERNAL POWER"
    104,"AUSTRALIA","GRANDE SOLARIS"
     12,"AUSTRALIA","HANJIN SHIKOKU"
     49,"AUSTRALIA","K.ASTER"
     29,"AUSTRALIA","K.HOPE"
    250,"AUSTRALIA","KMAX RULER"
     39,"AUSTRALIA","KSL SINGAPORE"
     81,"AUSTRALIA","MAGDALENA OLDENDORFF"
     38,"AUSTRALIA","MV MARIGOLD"
     88,"AUSTRALIA","NAVIOS FANTASTIKS"
     88,"AUSTRALIA","NAVIOS GALAXY I"
     69,"AUSTRALIA","OITA MARU"
    106,"AUSTRALIA","PSU CHILE"
     82,"AUSTRALIA","PUGNANI"
     32,"AUSTRALIA","Q GAYLE"
    272,"AUSTRALIA","RTM GLADSTONE"
    614,"AUSTRALIA","RTM WAKMATHA"
    132,"AUSTRALIA","SEA MAPLE"
     25,"AUSTRALIA","SEASTRENGTH"
     76,"AUSTRALIA","SPARTA"
     38,"AUSTRALIA","TIAN FA HAI"
     58,"AUSTRALIA","TOM PRICE"
     85,"AUSTRALIA","UNIVERSAL1"
      7,"AUSTRALIA","ZOSCO SHANGHAI"
    114,"BRAZIL","APELLIS"
    376,"BRAZIL","BAKKEDAL"
    544,"BRAZIL","BULK JULIANA"
    492,"BRAZIL","CAPE FLATTERY"
     69,"BRAZIL","CEMENTOS CANTABRICO"
     31,"BRAZIL","CLEARWATER BAY"
    121,"BRAZIL","CRUX"
    114,"BRAZIL","JAG AARATI"
    428,"BRAZIL","KOSZALIN"
    324,"BRAZIL","LADY DORIS"
    125,"BRAZIL","NIMERTIS"
    336,"BRAZIL","NORD MONTREAL"
    122,"BRAZIL","ORIENT ACCORD"
    276,"BRAZIL","PRETTY LADY"
     86,"BRAZIL","PUNA"
    120,"BULGARIA","AGIOSNIKOLAS"
     32,"BULGARIA","INCE EGE"
     86,"BULGARIA","INDRA  II"
     20,"BULGARIA","PRINCESS MARIA"
    101,"BULGARIA","YUAN AN HAI"
    393,"CANADA","ACHILLES"
    378,"CANADA","ALAM MANIS"
    177,"CANADA","ALETHINI"
    135,"CANADA","ASIAN BLOSSOM"
    129,"CANADA","ASSIMINA"
    378,"CANADA","ASTORIA"
    372,"CANADA","ATLANTIC BRIDGE"
    324,"CANADA","ATLANTIC MERIDA"
    164,"CANADA","AURORA BULKER"
    157,"CANADA","AVENTICUM"
     70,"CANADA","BAHRI BULK"
    300,"CANADA","CAROLA"
    366,"CANADA","CHRISTINE B"
      7,"CANADA","CSL NIAGARA"
    126,"CANADA","DANGJIN"
    447,"CANADA","ELVIRA BULKER"
    372,"CANADA","ERBAYERN"
    378,"CANADA","ERO L"
    489,"CANADA","FPMC B HARMONY"
    345,"CANADA","GIOVANNI BOTTIGLIERI"
    372,"CANADA","GLORY NAVIGATOR"
    366,"CANADA","GLYFADA I"
    402,"CANADA","GREAT PROSPERITY"
    324,"CANADA","HARUKA"
    375,"CANADA","HONG YUAN"
    168,"CANADA","ICARUS"
    336,"CANADA","INGRID C"
    408,"CANADA","JOSCO CHANGZHOU"
    124,"CANADA","JULIA OLDENDORFF"
    387,"CANADA","K.OPAL"
    363,"CANADA","KRANIA"
     87,"CANADA","LARA"
    138,"CANADA","MAPLE OCEAN"
    366,"CANADA","MAVERICK GUARDIAN"
    369,"CANADA","MISS SIMONA"
    363,"CANADA","MV AFOVOS"
     18,"CANADA","MV TRUST STAR"
    273,"CANADA","NAVIOS ORIANA"
    375,"CANADA","NEW HISTORY"
    351,"CANADA","NORD DELPHINUS"
    411,"CANADA","OCEAN GLORY"
    393,"CANADA","ODIRIS"
    378,"CANADA","OLYMPUS"
    363,"CANADA","PRABHU PARVATI."
    561,"CANADA","ROYAL INNOVATION"
    363,"CANADA","SAMOS WARRIOR"
      9,"CANADA","SEA LADY"
    366,"CANADA","SM AURORA"
    180,"CANADA","STAR GEORGIA"
    393,"CANADA","STAR LILY"
    372,"CANADA","STAR SIRIUS"
     75,"CANADA","TECUMSEH"
    564,"CANADA","TURICUM"
    681,"CANADA","ULTRA ROCANVILLE"
    132,"CANADA","ULTRA SASKATOON"
    420,"CANADA","WHITE HAWK"
    175,"CHILE","ALOE"
     95,"CHILE","AMSTEL FALCON"
    125,"CHILE","GUMA"
    128,"CHILE","MAEMI PIONEER"
    122,"CHILE","OCEAN ANGEL"
    124,"CHILE","ORIENT LUCKY"
    123,"CHILE","SKY KNIGHT"
    187,"CHILE","WINNING BRIGHT"
     94,"CHILE","YUAN SHUN HAI"
    240,"CHINA","ANNA S"
    208,"CHINA","AN PING 3"
      7,"CHINA","AOLI 5"
     30,"CHINA","ARISO"
    476,"CHINA","ATHINA CARRAS"
    720,"CHINA","ATOUT"
      8,"CHINA","AUDAX"
     42,"CHINA","AURORA VENUS"
     24,"CHINA","BAHIA 1"
    360,"CHINA","BALTIC WIND"
    116,"CHINA","BAO CHANG"
     20,"CHINA","BAOFENG"
     24,"CHINA","BAOJI"
    176,"CHINA","BEI LUN HAI 27"
     94,"CHINA","BERGE APO"
     96,"CHINA","BEST TRADER"
    744,"CHINA","BEST VISION"
     12,"CHINA","BRASIL SW"
     51,"CHINA","BULK ORION"
    156,"CHINA","BULK SPAIN"
    632,"CHINA","BULK SWITZERLAND"
     27,"CHINA","CAPE FLAMINGO"
    428,"CHINA","CAPE OSPREY"
     21,"CHINA","CCS ANGEL"
    756,"CHINA","CEMTEX PIONEER"
    576,"CHINA","CHANGHANGCANGHAI"
     38,"CHINA","CHANG HANG FAN HAI"
    113,"CHINA","CHANGHANGRUNHAI"
    256,"CHINA","CHANNEL ALLIANCE"
    194,"CHINA","CHITRAL"
      3,"CHINA","CHRIS GR"
      6,"CHINA","CMB YASMINE"
     78,"CHINA","COLLONGES"
    726,"CHINA","CONSTANTIA"
    105,"CHINA","CORIO BAY"
    312,"CHINA","CORNAVIN"
     22,"CHINA","COS GLORY"
    354,"CHINA","COUNTESS SEA"
     54,"CHINA","C.WINNER"
    100,"CHINA","DAE PUNG"
     54,"CHINA","DARYA SHANTHI"
    138,"CHINA","DA SHEN"
    324,"CHINA","DA TANG 2 HAO"
    103,"CHINA","DENG ZHOU HAI"
    216,"CHINA","DENSA COBRA"
    339,"CHINA","DENSA FALCON"
    242,"CHINA","DONG JIANG HAI"
    238,"CHINA","DONG JIANG MING"
      2,"CHINA","DORO"
     26,"CHINA","DOUBLE HAPPINESS"
    208,"CHINA","DUBAI GALACTIC"
    118,"CHINA","EASTERN GLAMOUR"
     34,"CHINA","ECO DISCOVERY"
      5,"CHINA","EQUINOX AGNANDOUSSA"
    472,"CHINA","ERGINA LUCK"
     26,"CHINA","FENGI"
    264,"CHINA","FLORENCE D"
    226,"CHINA","FORTUNE STAR"
    116,"CHINA","FORTUNE SUN"
    156,"CHINA","FPMC B 104"
     64,"CHINA","FPMC B 105"
      5,"CHINA","FULVIA"
    156,"CHINA","FU RONG FENG"
     78,"CHINA","FU XING 6"
    714,"CHINA","FU XING 7"
    345,"CHINA","GAO QIANG"
     32,"CHINA","GENEROUS"
    178,"CHINA","GLOBAL BAY"
    240,"CHINA","GLOBAL VANGUARD"
    117,"CHINA","GLORY ENERGY"
    226,"CHINA","GNG CONCORD 1"
     18,"CHINA","GOLDENEYE"
     48,"CHINA","GOLDEN HOPE"
      6,"CHINA","GOLDEN STAR"
     75,"CHINA","GONG YIN 1"
    714,"CHINA","GREAT HEBEI"
    756,"CHINA","GREAT TANG"
    345,"CHINA","GREEN HARVEST"
    300,"CHINA","GUANGZHONG"
    117,"CHINA","GUO DIAN 12"
     94,"CHINA","GUO SHUN 9"
    115,"CHINA","HAI KANG"
    108,"CHINA","HALUS"
    480,"CHINA","HBIS SUNRISE"
    138,"CHINA","HC JANA-ROSA"
    558,"CHINA","HE BANG"
     89,"CHINA","HONG PROSPERITY"
    182,"CHINA","HUA HAI HANG 1"
    198,"CHINA","HUA HAI HANG 3"
     42,"CHINA","HUA RONG 3"
    484,"CHINA","HUASHUNHAI"
     39,"CHINA","HW HARVEST"
     28,"CHINA","JERVIS BAY"
     93,"CHINA","JIA HE HANG YUN 1"
     88,"CHINA","JIA YONG SHAN"
    222,"CHINA","JIN GUANG LING"
    154,"CHINA","JIN HAI FU"
     56,"CHINA","JIN HAI OU"
     12,"CHINA","JIN HAI XIN"
      4,"CHINA","JIN LANG"
     85,"CHINA","JIN PING"
     30,"CHINA","JIU LONG FENG"
     10,"CHINA","JOHN M CARRAS"
      1,"CHINA","JR.SPRING"
    306,"CHINA","KESARI PREM"
    528,"CHINA","KG COEN"
    330,"CHINA","LAKE DEER"
      6,"CHINA","LALIS D"
    118,"CHINA","LEADING BRAVERY"
     48,"CHINA","LOWLANDS BRILLIANCE"
    124,"CHINA","LUCKY STAR"
    364,"CHINA","MARY GORGIAS"
    720,"CHINA","MASTER"
    216,"CHINA","MEDI PAESTUM"
    114,"CHINA","MELPOMENI"
     66,"CHINA","MG SHIPPING"
    464,"CHINA","MING ZHOU 58"
     50,"CHINA","MING ZHOU6"
    270,"CHINA","MOUNT OPHIR"
    172,"CHINA","MV XIN PENG"
     72,"CHINA","NATZUTEC"
    324,"CHINA","NEW HORIZON"
     26,"CHINA","NICOLAOS A"
    120,"CHINA","NING AN 3"
     31,"CHINA","NING AN 5"
    230,"CHINA","NING AN 9"
    378,"CHINA","OCEAN ECHO"
    708,"CHINA","OCEAN RIDER"
     52,"CHINA","PACIFIC ARGOSY"
    119,"CHINA","PACIFIC ENERGY"
     48,"CHINA","PACIFIC SCORPIO"
    354,"CHINA","PALMA BULKER"
    234,"CHINA","PHILADELPHIA"
    120,"CHINA","PHOENIX BEAUTY"
    588,"CHINA","PHOENIX OCEAN"
    762,"CHINA","POLA UGLICH"
    147,"CHINA","PORT ESTORIL"
    352,"CHINA","PREMIERSHIP"
    232,"CHINA","QI CHEN"
    678,"CHINA","REDONDO"
     62,"CHINA","SAMJOHN LEGACY"
    702,"CHINA","SCF SUEK"
      4,"CHINA","SEACON 9"
    678,"CHINA","SEA FUTURE"
     14,"CHINA","SELECTA"
    232,"CHINA","SHANDONG CHONG WEN"
     30,"CHINA","SHENG SHI 1"
    339,"CHINA","SHEN HUA 801"
    244,"CHINA","SHI DAI 11"
    786,"CHINA","SHI DAI 2"
    468,"CHINA","SHOURONG HARMONY"
    109,"CHINA","SIDER GLADIATOR"
     18,"CHINA","SILVER MASTER"
     90,"CHINA","SPRING BREEZE"
    100,"CHINA","SPRING SAMCHEONPO"
    408,"CHINA","STAR ANGELINA"
    326,"CHINA","STAR NASIA"
      3,"CHINA","STELLA ANNABEL"
     52,"CHINA","STOVE TRADITION"
     81,"CHINA","SUNNY OCEAN"
     12,"CHINA","TAI GANG"
     89,"CHINA","TAI HANG 3"
    178,"CHINA","TAI HANG 6"
    678,"CHINA","TAMPA"
     32,"CHINA","TENKO MARU"
    226,"CHINA","TIAN SHENG 15"
      3,"CHINA","TIAN SHENG 17"
    392,"CHINA","TOFTE 1"
     61,"CHINA","TRANS FRIENDSHIP I"
    180,"CHINA","TRITON HAWK"
    202,"CHINA","TRITON SEAHAWK"
     36,"CHINA","TUO ZHAN 1"
    468,"CHINA","TURMALIN"
    126,"CHINA","U NOBLE"
     88,"CHINA","VERA 9"
    114,"CHINA","W-ACE"
    222,"CHINA","WADI ALBOSTAN"
    119,"CHINA","WADI SUDR"
    352,"CHINA","WESTERN MAPLE"
    168,"CHINA","WISE I"
      2,"CHINA","XIANGZHI"
    726,"CHINA","XINDAJIANG"
    110,"CHINA","XING HENG DA"
      8,"CHINA","XING SHUN"
    291,"CHINA","XIN LV BAO SHI"
    696,"CHINA","XIN TANG SHAN HAI 1"
    117,"CHINA","XUAN THANH 18"
    117,"CHINA","YASA DREAM"
    402,"CHINA","YIN DONG"
    118,"CHINA","YING SHUN"
    450,"CHINA","YIN NIAN"
    154,"CHINA","YINSHI"
    190,"CHINA","YONG JIA"
    348,"CHINA","YUE DIAN 4"
      3,"CHINA","YU LIN HAI"
    726,"CHINA","ZHE HAI 151"
    132,"CHINA","ZHE HAI 161"
    106,"CHINA","ZHENFEN 17"
     16,"CHINA","ZHENG HUI"
    714,"CHINA","ZHONG CHANG 68"
    708,"CHINA","ZHONG TENG HAI"
      4,"CHINA","ZHONG XIN PEARL"
     84,"CHINA","ZILOS"
    128,"GERMANY","AP JADRAN"
     22,"GREECE","EVIA ISLAND"
     58,"GREECE","MV ADAMAS"
    252,"HONG KONG/CHINA","ANDA NO66"
     84,"HONG KONG/CHINA","CHANG HANG HUAI HAI"
    658,"HONG KONG/CHINA","CHANG HANG ZE HAI"
    826,"HONG KONG/CHINA","EVGENIA"
    994,"HONG KONG/CHINA","FAKARAVA"
     98,"HONG KONG/CHINA","GUANG MING FENG"
   1554,"HONG KONG/CHINA","JIN HAI HUA"
     98,"HONG KONG/CHINA","JIN HENG"
    126,"HONG KONG/CHINA","JIN RONG"
    378,"HONG KONG/CHINA","KARPATY"
    112,"HONG KONG/CHINA","MANDARIN SINGAPORE"
    896,"HONG KONG/CHINA","NAVIOS ETOILE"
    476,"HONG KONG/CHINA","NEW CREATION"
    798,"HONG KONG/CHINA","PACIFIC SCORPIO"
    112,"HONG KONG/CHINA","POAVOSA BRAVE"
    742,"HONG KONG/CHINA","RUI FU STAR"
   1358,"HONG KONG/CHINA","STAR PLANET"
    434,"HONG KONG/CHINA","TEAM QUEST"
    518,"HONG KONG/CHINA","YA TAI 1"
    154,"HONG KONG/CHINA","YUE DIAN 51"
   1106,"HONG KONG/CHINA","YUTAI AMBITIONS"
    366,"INDIA","AENEAS"
    354,"INDIA","AGIA FILOTHEI"
     21,"INDIA","AP DRZIC"
    237,"INDIA","ASIA ZIRCON 1"
    351,"INDIA","AVOCET"
    342,"INDIA","BADRI PRASAD"
    348,"INDIA","BULK PORTUGAL"
    129,"INDIA","CHANDI PRASAD"
    270,"INDIA","CHENNAI JAYAM"
      3,"INDIA","CORINTH"
    375,"INDIA","DL LILAC"
    432,"INDIA","EASTERN SUN"
    348,"INDIA","ENERGY GLOBE"
     33,"INDIA","EPHESUS"
     12,"INDIA","GENCO SUCCESS"
    156,"INDIA","JAG RAHUL"
    345,"INDIA","JAG RISHI"
     75,"INDIA","MP PANAMAX 4"
    342,"INDIA","M.V.GEM OF PARADIP"
    327,"INDIA","M.V.SANMAR PHOENIX"
     87,"INDIA","PACIFIC PAMELA"
    345,"INDIA","PUFFIN BULKER"
    351,"INDIA","QUEEN HALO"
    366,"INDIA","RED QUEEN"
    348,"INDIA","SANTA CATALINA"
    351,"INDIA","SHRAVAN"
    345,"INDIA","SIDERAKI"
    282,"INDIA","SIOUXMAIDEN"
    261,"INDIA","SLETTNES"
    354,"INDIA","TRANS AUTUMN"
    303,"INDIA","TROPICAL PEGASUS"
     45,"INDIA","VISHWA UDAY"
    345,"INDIA","WHITE FIN"
    348,"INDIA","YASA ILHAN"
      4,"INDONESIA","AVRA"
      3,"INDONESIA","DAN NO.1"
      4,"INDONESIA","DN MILLET"
      3,"INDONESIA","FEISTY KAREN"
      1,"INDONESIA","NUR ALLYA"
      1,"INDONESIA","PARISIANA"
     18,"ITALY","BEKS HALIL"
     19,"ITALY","DESPINA"
    121,"ITALY","GALIO"
     58,"ITALY","GENCO LOIRE"
     62,"ITALY","KING COFFEE"
     21,"ITALY","WUCHANG"
     11,"JAPAN","ALEXANDROS III"
    112,"JAPAN","CSE PROSPERITY EXPR"
    113,"JAPAN","GLOBAL INNOVATOR"
    138,"LATVIA","WILSON ROUGH"
    121,"MALTA","CAPE TAVOR"
      5,"MALTA","DEMETRIOS B"
    121,"MALTA","KM YOKOHAMA"
    121,"MEXICO","ATLANTIC MAZATLAN"
      9,"MEXICO","ATLANTIC PROGRESS"
     73,"MEXICO","DORIS"
    119,"MEXICO","DRAWSKO"
     52,"MEXICO","INCE HAMBURG"
      5,"MEXICO","MARINA K"
    122,"MEXICO","OCEAN PEARL"
      1,"MEXICO","SAINT FANOURIS"
    123,"MEXICO","SHAN HAI"
     24,"MEXICO","WHISTLER"
    122,"MEXICO","ZEALAND ZARIA"
     24,"MYANMAR","ANDA RAYA"
      4,"MYANMAR","ARISTIMO"
      6,"MYANMAR","BAO AN LING"
      2,"MYANMAR","HOA BINH 45"
      6,"MYANMAR","LORETO"
     86,"NAMIBIA","AMITY"
      8,"NAMIBIA","BOLD VOYAGER"
    119,"NAMIBIA","RED MISTRAL"
    125,"NAMIBIA","SOLANJO"
    170,"NEW ZEALAND","K.PLUTO"
    156,"NEW ZEALAND","PHOENIX ISLAND II"
     40,"NEW ZEALAND","WESTPORT"
     28,"PHILIPPINES","ANACAPA LIGHT"
     31,"PHILIPPINES","AZUL VICTORIA"
     23,"PHILIPPINES","BERGE NEBLINA"
    123,"PHILIPPINES","GOONYELLA TRADER"
     32,"PHILIPPINES","KMAX  VISION"
     84,"POLAND","CHIARA DAMATO"
     70,"POLAND","DONNACONA"
     56,"POLAND","JUNO"
    238,"POLAND","PISTI"
     45,"RUSSIA","DEZHOUHAI"
